Source,Year,Emissions (CO2eq)
Other,1961,84850
Other,1962,89018.36
Other,1963,93937.03
Other,1964,96522.67
Other,1965,102622.49
Other,1966,106910.91
Other,1967,113199.98
Other,1968,114262.29
Other,1969,117611.72
Other,1970,121728.68
Other,1971,125176.9
Other,1972,127690.09
Other,1973,135664.04
Other,1974,133379.87
Other,1975,148360.77
Other,1976,147883.06
Other,1977,142882.91
Other,1978,145064.25
Other,1979,149170.75
Other,1980,150765.2
Other,1981,150238.34
Other,1982,140043.81
Other,1983,143867.32
Other,1984,151340.33
Other,1985,145055.08
Other,1986,139970.92
Other,1987,138932.64
Other,1988,134201.19
Other,1989,140563.12
Other,1990,153475.37
Other,1991,152959.36
Other,1992,157218.55
Other,1993,160670.1
Other,1994,161585.84
Other,1995,161877.46
Other,1996,165872.82
Other,1997,165490.83
Other,1998,166018.61
Other,1999,164023.07
Other,2000,159593.43
Other,2001,161247.71
Other,2002,159882.7
Other,2003,166025.48
Other,2004,167447.31
Other,2005,164341.59
Other,2006,167757.99
Other,2007,170424.33
Other,2008,167707.32
Other,2009,164510.88
Other,2010,167610.27
Other,2011,169414.91
Other,2012,169299.01
Other,2030,158774.48
Other,2050,163576.86
Enteric Fermentation,1961,144412.52
Enteric Fermentation,1962,146582.94
Enteric Fermentation,1963,149863.73
Enteric Fermentation,1964,152283.36
Enteric Fermentation,1965,152320.29
Enteric Fermentation,1966,150605.4
Enteric Fermentation,1967,149626.91
Enteric Fermentation,1968,149223.99
Enteric Fermentation,1969,149100.06
Enteric Fermentation,1970,151039.11
Enteric Fermentation,1971,153561.57
Enteric Fermentation,1972,156626.7
Enteric Fermentation,1973,160007.63
Enteric Fermentation,1974,166497.55
Enteric Fermentation,1975,170582.13
Enteric Fermentation,1976,165537.93
Enteric Fermentation,1977,159743.36
Enteric Fermentation,1978,152432.19
Enteric Fermentation,1979,146308.73
Enteric Fermentation,1980,147126.5
Enteric Fermentation,1981,150699.58
Enteric Fermentation,1982,151931.6
Enteric Fermentation,1983,151251.06
Enteric Fermentation,1984,148987.27
Enteric Fermentation,1985,144884.18
Enteric Fermentation,1986,139749.29
Enteric Fermentation,1987,135377.66
Enteric Fermentation,1988,132653.01
Enteric Fermentation,1989,129191.56
Enteric Fermentation,1990,128117.24
Enteric Fermentation,1991,128489.45
Enteric Fermentation,1992,129630.6
Enteric Fermentation,1993,131181.83
Enteric Fermentation,1994,132971.08
Enteric Fermentation,1995,134850.74
Enteric Fermentation,1996,135428.28
Enteric Fermentation,1997,132975.28
Enteric Fermentation,1998,130823.38
Enteric Fermentation,1999,130114.61
Enteric Fermentation,2000,129089.79
Enteric Fermentation,2001,128006.19
Enteric Fermentation,2002,127594.17
Enteric Fermentation,2003,127132.94
Enteric Fermentation,2004,126036.64
Enteric Fermentation,2005,127192.94
Enteric Fermentation,2006,128862.25
Enteric Fermentation,2007,128788.02
Enteric Fermentation,2008,128460.75
Enteric Fermentation,2009,126735.73
Enteric Fermentation,2010,125959.28
Enteric Fermentation,2011,124815.57
Enteric Fermentation,2012,122746.57
Enteric Fermentation,2030,133778.51
Enteric Fermentation,2050,131863.48
Manure Management,1961,51575.85
Manure Management,1962,52942.26
Manure Management,1963,52913.52
Manure Management,1964,52586.42
Manure Management,1965,50608.55
Manure Management,1966,48465.39
Manure Management,1967,49723.15
Manure Management,1968,49349.92
Manure Management,1969,49308.28
Manure Management,1970,48541.13
Manure Management,1971,51118.02
Manure Management,1972,49983.45
Manure Management,1973,48861.4
Manure Management,1974,49542.4
Manure Management,1975,48182.05
Manure Management,1976,46392.31
Manure Management,1977,47172.07
Manure Management,1978,47003.48
Manure Management,1979,47667.63
Manure Management,1980,49496.09
Manure Management,1981,49307.28
Manure Management,1982,48063.96
Manure Management,1983,46824.48
Manure Management,1984,46973.86
Manure Management,1985,46269.13
Manure Management,1986,45409.98
Manure Management,1987,44697.99
